file,red_wire,black_wire,iron
frame_001.jpg,1,0,1
frame_002.jpg,1,0,1
frame_003.jpg,1,0,1
frame_004.jpg,1,0,1
frame_005.jpg,1,0,1
frame_006.jpg,1,0,1
frame_007.jpg,1,0,1
frame_008.jpg,1,0,1
frame_009.jpg,1,0,1
frame_010.jpg,1,0,1
frame_011.jpg,1,0,1
frame_012.jpg,1,0,1
frame_013.jpg,1,0,1
frame_014.jpg,1,0,1
frame_015.jpg,1,0,1
frame_016.jpg,1,0,1
frame_017.jpg,1,0,1
frame_018.jpg,1,0,1
frame_019.jpg,1,0,1
frame_020.jpg,1,0,1
frame_021.jpg,1,0,1
frame_022.jpg,1,0,1
frame_023.jpg,1,0,1
frame_024.jpg,1,0,1
frame_025.jpg,1,0,1
frame_026.jpg,1,0,1
frame_027.jpg,1,0,1
frame_028.jpg,1,0,1
frame_029.jpg,1,0,1
frame_030.jpg,1,0,1
frame_031.jpg,1,0,1
frame_032.jpg,1,0,1
frame_033.jpg,1,0,1
frame_034.jpg,1,0,1
frame_035.jpg,1,0,1
frame_036.jpg,1,0,1
frame_037.jpg,1,0,1
frame_038.jpg,1,0,1
frame_039.jpg,1,0,1
frame_040.jpg,1,0,1
frame_041.jpg,1,0,1
frame_042.jpg,1,0,1
frame_043.jpg,1,0,1
frame_044.jpg,1,0,1
frame_045.jpg,1,0,1
frame_046.jpg,1,0,1
frame_047.jpg,1,0,1
frame_048.jpg,1,0,1
frame_049.jpg,1,0,1
frame_050.jpg,1,0,1
frame_051.jpg,1,0,1
frame_052.jpg,1,0,1
frame_053.jpg,1,0,1
frame_054.jpg,1,0,1
frame_055.jpg,1,0,1
frame_056.jpg,1,0,1
frame_057.jpg,1,0,1
frame_058.jpg,1,0,1
frame_059.jpg,1,0,1
frame_060.jpg,1,0,1
frame_061.jpg,1,0,1
frame_062.jpg,1,0,1
frame_063.jpg,1,0,1
frame_064.jpg,1,0,1
frame_065.jpg,1,0,1
frame_066.jpg,1,0,1
frame_067.jpg,1,0,1
frame_068.jpg,1,0,1
frame_069.jpg,1,0,1
frame_070.jpg,1,0,1
frame_071.jpg,1,0,1
frame_072.jpg,1,0,1
frame_073.jpg,1,0,1
frame_074.jpg,1,0,1
frame_075.jpg,1,0,1
frame_076.jpg,1,0,1
frame_077.jpg,1,0,1
frame_078.jpg,1,0,1
frame_079.jpg,1,0,1
frame_080.jpg,1,0,1
